Produkt ID,Jednostka miary,Waga brutto,Waga netto,Jednostka wagi,Objetosc,Długosc,Szerokosc,Wysokosc,Indeks wymiar jednostka,Zawartosc,Zawartosc netto,Zawartosc brutto,Marka wlasna,OKRES_PRZYDATNOSCI_DNI,JEDNOSTKA_MIARY_MAGAZYN,LICZNIK_PRZELICZ_ZAWARTOSCI,MIANOWNIK_PRZELICZ_ZAWARTOSCI,PRZELICZNIK_ZAWARTOSCI,Liczba sztuk na palecie,Liczba sztuk w opakowaniu,Liczba sztuk w kartonie,Liczba sztuk w warstwie (palety),Cena zakupu,VAT
10935650,ST,0.02,0.02,KG,0,0,0,0,CM,KG,0.02,0.02,  ,0,ST,1,1,1,0,,,,XXX,XXX
10935890,ST,0.1,0.1,KG,0,0,0,0,CM,KG,0.1,0.1,  ,0,ST,1,1,1,0,27,27,0,XXX,XXX
10936130,ST,0.1,0.1,KG,0.945,2,13.5,35,CM,KG,0,0,  ,0,ST,1,1,1,0,1,1,0,XXX,XXX
10936370,ST,0.05,0.05,KG,0.286,1,11,26,CM,KG,0,0,  ,0,ST,1,1,1,0,1,1,0,XXX,XXX
10936610,ST,0.228,0.26,KG,1.123,6.5,11,15.7,CM,KG,0.175,0.175,  ,180,OPA,1,1,1,560,1,8,112,XXX,XXX
10937090,ST,0.4,0.4,KG,0.576,6,8,12,CM,KG,0.4,0.4,  ,0,ST,1,1,1,0,6,6,0,XXX,XXX
10941650,ST,0.051,0.051,KG,0,0,0,0,CM,KG,0.051,0.051,  ,0,ST,1,1,1,0,,,,XXX,XXX
10942131,ST,0.1,0.1,KG,0,0,0,0,CM,KG,0.1,0.1,  ,0,ST,1,1,1,0,,,,XXX,XXX
10942371,ST,0.05,0.05,KG,0,0,0,0,CM,KG,0.05,0.05,  ,0,ST,1,1,1,0,,,,XXX,XXX
10943331,ST,0.4,0.4,KG,0,0,0,0,CM,KG,0.4,0.4,  ,0,ST,1,1,1,0,20,20,0,XXX,XXX
10943811,ST,0.15,0.15,KG,0,0,0,0,CM,L,0.15,0.15,  ,0,ST,1,1,1,0,,,,XXX,XXX
10944051,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10944291,ST,0.75,0.75,KG,1.788,5.5,12.5,26,CM,L,0.75,0.75,  ,0,ST,1,1,1,0,1,1,0,XXX,XXX
10944771,ST,0.29,0.29,KG,0,0,0,0,CM,KG,0.29,0.29,  ,0,ST,1,1,1,0,10,10,0,XXX,XXX
10946691,ST,0.9,0.9,KG,0,0,0,0,CM,KG,0.9,0.9,  ,0,ST,1,1,1,0,,,,XXX,XXX
10948131,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,1,1,0,XXX,XXX
10949091,ST,0.153,0.1,KG,0.335,3.8,18,4.9,CM,L,0.1,0.1,  ,730,OPA,1,1,1,3264,1,24,408,XXX,XXX
10949331,ST,0.05,0.05,KG,0,0,0,0,CM,L,0.05,0.05,  ,0,ST,1,1,1,0,1,1,9600,XXX,XXX
10950531,ST,0.1,0.1,KG,0,0,0,0,CM,L,0,0,  ,0,ST,1,1,1,0,1,1,9600,XXX,XXX
10950771,ST,0.1,0.1,KG,0,0,0,0,CM,L,0,0,  ,0,OPA,1,1,1,0,1,1,9600,XXX,XXX
10951731,ST,0.009,0.009,KG,0,0,0,0,CM,KG,0.009,0.009,  ,0,OPA,1,1,1,0,1,1,9600,XXX,XXX
10952211,ST,0.39,0.39,KG,0,0,0,0,CM,KG,0.39,0.39,  ,0,OPA,1,1,1,0,1,1,9600,XXX,XXX
10952451,ST,0.1,0.1,KG,0,0,0,0,CM,L,0,0,  ,0,ST,1,1,1,0,1,1,9600,XXX,XXX
10952931,ST,0.02,0.02,KG,0,0,0,0,CM,L,0.02,0.02,  ,0,ST,1,1,1,0,1,1,9600,XXX,XXX
10959411,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,12,12,0,XXX,XXX
10959891,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10960131,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10960851,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,10,10,0,XXX,XXX
10961091,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10961571,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10961811,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,20,20,0,XXX,XXX
10962531,ST,0,0,KG,0,0,0,0,CM,KG,0.16,0.16,  ,0,ST,1,1,1,0,,,,XXX,XXX
10963251,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10963731,ST,0,0,KG,0,0,0,0,CM,KG,0.08,0.08,  ,0,ST,1,1,1,0,,,,XXX,XXX
10967571,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10968291,ST,0,0,KG,0,0,0,0,CM,KG,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10969971,ST,0.013,0.013,KG,0.014,0.1,12,12,CM,,0,0,  ,9999,OPA,19,1,19,0,19,19,0,XXX,XXX
10971171,ST,0.019,0.019,KG,0.36,10,3,12,CM,KG,0.019,0.019,  ,0,ST,1,1,1,0,,,,XXX,XXX
10971411,ST,0,0,KG,0.901,6.3,6.3,22.7,CM,KG,0.45,0.45,  ,0,ST,1,1,1,0,,,,XXX,XXX
10971651,ST,0.03,0.03,KG,0,0,0,0,CM,KG,0.03,0.03,  ,0,ST,1,1,1,0,,,,XXX,XXX
10973091,ST,0.443,0.434,KG,0.995,13,9,8.5,CM,KG,0.43,0.43,  ,12,OPA,1,1,1,640,1,8,64,XXX,XXX
10973811,ST,0.2,0.2,KG,0,0,0,0,CM,KG,0.2,0.2,  ,1,ST,1,1,1,0,,,,XXX,XXX
10974051,ST,0.5,0.5,KG,0,0,0,0,CM,KG,0.5,0.5,  ,1,ST,1,1,1,0,,,,XXX,XXX
10974531,ST,0.206,0.206,KG,184.704,0.3,20.8,29.6,CM,KG,0,0,  ,0,OPA,1,1,1,4000,1,200,800,XXX,XXX
10975251,KG,1,1,KG,3.42,10,18,19,CM,KG,1,1,  ,30,KG,1,1,1,420,2.75,5.5,66,XXX,XXX
10975491,ST,0.14,0.14,KG,0,0,0,0,CM,KG,0.14,0.14,  ,0,OPA,100,100,1,0,1,1,0,XXX,XXX
10975731,ST,0.018,0.018,KG,0.045,1,15,3,CM,KG,0.017,0.017,  ,455,OPA,28,1,28,15680,28,280,2240,XXX,XXX
10975971,ST,0.206,0.206,KG,0.29,2.2,12,11,CM,KG,0.2,0.2,  ,19,OPA,4,1,4,2640,4,24,240,XXX,XXX
10976451,ST,0.238,0.238,KG,0.471,3.7,9.1,14,CM,KG,0.2,0.2,  ,30,OPA,4,1,4,2560,4,8,256,XXX,XXX
10980531,KG,1,1,KG,0,0,0,0,,KG,1,1,  ,21,KG,1,1,1,0,,,,XXX,XXX
10980771,ST,0.17,0.17,KG,0.435,14.5,1.5,20,CM,,0,0,  ,288,ST,1,1,1,0,15,15,0,XXX,XXX
10982211,ST,0.04,0.04,KG,0.103,0.5,12,17.2,CM,,0,0,  ,0,OPA,1,1,1,5040,1,12,1008,XXX,XXX
10982451,ST,0.1,0.1,KG,0.296,3.3,7.6,11.8,CM,KG,0.1,0.1,  ,0,ST,1,1,1,0,24,24,0,XXX,XXX
10982691,ST,0,0,KG,0,0,0,0,CM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10982931,ST,0,0,KG,0,0,0,0,CM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10983171,ST,0,0,KG,0,0,0,0,CM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10983411,ST,0,0,KG,0,0,0,0,CM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
10983651,ST,0,0,KG,0,0,0,0,CM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
