product_id,recommendations
10925220,"[{\"Sklep\":12,\"rating\":2.2407008E-14},{\"Sklep\":1,\"rating\":2.070311E-14},{\"Sklep\":14,\"rating\":1.594304E-14},{\"Sklep\":10,\"rating\":1.1727552E-14},{\"Sklep\":11,\"rating\":7.855879E-15},{\"Sklep\":13,\"rating\":4.5787963E-15},{\"Sklep\":15,\"rating\":3.186091E-15}]"
10931490,"[{\"Sklep\":12,\"rating\":5.695E-15},{\"Sklep\":1,\"rating\":5.2606828E-15},{\"Sklep\":14,\"rating\":4.0571053E-15},{\"Sklep\":10,\"rating\":2.9823954E-15},{\"Sklep\":11,\"rating\":1.997736E-15},{\"Sklep\":13,\"rating\":1.1643505E-15},{\"Sklep\":15,\"rating\":8.1018447E-16}]"
10931462,"[{\"Sklep\":12,\"rating\":1.7417518E-14},{\"Sklep\":1,\"rating\":1.6089208E-14},{\"Sklep\":14,\"rating\":1.24081196E-14},{\"Sklep\":10,\"rating\":9.121283E-15},{\"Sklep\":11,\"rating\":6.109819E-15},{\"Sklep\":13,\"rating\":3.5610205E-15},{\"Sklep\":15,\"rating\":2.4778488E-15}]"
10901053,"[{\"Sklep\":12,\"rating\":1.9285634E-14},{\"Sklep\":1,\"rating\":1.7818126E-14},{\"Sklep\":14,\"rating\":1.3726007E-14},{\"Sklep\":10,\"rating\":1.0095186E-14},{\"Sklep\":11,\"rating\":6.762361E-15},{\"Sklep\":13,\"rating\":3.9414184E-15},{\"Sklep\":15,\"rating\":2.7425705E-15}]"
10988253,"[{\"Sklep\":12,\"rating\":5.016235E-14},{\"Sklep\":1,\"rating\":4.634332E-14},{\"Sklep\":14,\"rating\":3.5704306E-14},{\"Sklep\":10,\"rating\":2.6258736E-14},{\"Sklep\":11,\"rating\":1.7589595E-14},{\"Sklep\":13,\"rating\":1.0251951E-14},{\"Sklep\":15,\"rating\":7.1336564E-15}]"
80300003,"[{\"Sklep\":12,\"rating\":3.9237632E-14},{\"Sklep\":1,\"rating\":3.6250157E-14},{\"Sklep\":14,\"rating\":2.7929314E-14},{\"Sklep\":10,\"rating\":2.0540242E-14},{\"Sklep\":11,\"rating\":1.3759008E-14},{\"Sklep\":13,\"rating\":8.0193225E-15},{\"Sklep\":15,\"rating\":5.5801163E-15}]"
10988534,"[{\"Sklep\":12,\"rating\":2.5478855E-15},{\"Sklep\":1,\"rating\":2.3536092E-15},{\"Sklep\":14,\"rating\":1.815052E-15},{\"Sklep\":10,\"rating\":1.3342729E-15},{\"Sklep\":11,\"rating\":8.937538E-16},{\"Sklep\":13,\"rating\":5.2091346E-16},{\"Sklep\":15,\"rating\":3.6246435E-16}]"
10931605,"[{\"Sklep\":12,\"rating\":5.156376E-15},{\"Sklep\":1,\"rating\":4.763128E-15},{\"Sklep\":14,\"rating\":3.6734112E-15},{\"Sklep\":10,\"rating\":2.7003328E-15},{\"Sklep\":11,\"rating\":1.8087982E-15},{\"Sklep\":13,\"rating\":1.0542307E-15},{\"Sklep\":15,\"rating\":7.335602E-16}]"
10988225,"[{\"Sklep\":12,\"rating\":9.429757E-15},{\"Sklep\":1,\"rating\":8.709834E-15},{\"Sklep\":14,\"rating\":6.7214694E-15},{\"Sklep\":10,\"rating\":4.9394947E-15},{\"Sklep\":11,\"rating\":3.3086352E-15},{\"Sklep\":13,\"rating\":1.9283779E-15},{\"Sklep\":15,\"rating\":1.3418037E-15}]"
12003035,"[{\"Sklep\":12,\"rating\":1.0772487E-15},{\"Sklep\":1,\"rating\":9.951101E-16},{\"Sklep\":14,\"rating\":7.6738813E-16},{\"Sklep\":10,\"rating\":5.6412585E-16},{\"Sklep\":11,\"rating\":3.77876E-16},{\"Sklep\":13,\"rating\":2.2024017E-16},{\"Sklep\":15,\"rating\":1.5324872E-16}]"
