product_id,shops
10925220,"12,1,14,10,11,13,15"
10931490,"12,1,14,10,11,13,15"
10931462,"12,1,14,10,11,13,15"
10901053,"12,1,14,10,11,13,15"
10988253,"12,1,14,10,11,13,15"
80300003,"12,1,14,10,11,13,15"
10988534,"12,1,14,10,11,13,15"
10931605,"12,1,14,10,11,13,15"
10988225,"12,1,14,10,11,13,15"
12003035,"12,1,14,10,11,13,15"
10991296,"12,1,14,10,11,13,15"
10917708,"12,1,14,10,11,13,15"
10981779,"12,1,14,10,11,13,15"
10989202,"12,1,14,10,11,13,15"
80401072,"12,1,14,10,11,13,15"
10931494,"12,1,14,10,11,13,15"
10953645,"12,1,14,10,11,13,15"
10984745,"12,1,14,10,11,13,15"
10915959,"12,1,14,10,11,13,15"
10975520,"12,1,14,10,11,13,15"
10917172,"12,1,14,10,11,13,15"
12002052,"12,1,14,10,11,13,15"
10931873,"12,1,14,10,11,13,15"
10924794,"12,1,14,10,11,13,15"
10975514,"12,1,14,10,11,13,15"
10951515,"12,1,14,10,11,13,15"
10984738,"12,1,14,10,11,13,15"
10949069,"12,1,14,10,11,13,15"
10990871,"12,1,14,10,11,13,15"
10905412,"12,1,14,10,11,13,15"
12000112,"12,1,14,10,11,13,15"
10931724,"12,1,14,10,11,13,15"
10936605,"12,1,14,10,11,13,15"
12002445,"12,1,14,10,11,13,15"
10920267,"12,1,14,10,11,13,15"
10903344,"12,1,14,10,11,13,15"
12000604,"12,1,14,10,11,13,15"
12000734,"12,1,14,10,11,13,15"
12003164,"12,1,14,10,11,13,15"
10989606,"12,1,14,10,11,13,15"
10007267,"12,1,14,10,11,13,15"
10927898,"12,1,14,10,11,13,15"
10990698,"12,1,14,10,11,13,15"
10991159,"12,1,14,10,11,13,15"
10000710,"12,1,14,10,11,13,15"
10918962,"12,1,14,10,11,13,15"
10936292,"12,1,14,10,11,13,15"
10982052,"12,1,14,10,11,13,15"
10988172,"12,1,14,10,11,13,15"
10990872,"12,1,14,10,11,13,15"
10918973,"12,1,14,10,11,13,15"
12002796,"12,1,14,10,11,13,15"
12000307,"12,1,14,10,11,13,15"
10952838,"12,1,14,10,11,13,15"
10990348,"12,1,14,10,11,13,15"
10903079,"12,1,14,10,11,13,15"
10990212,"12,1,14,10,11,13,15"
10934074,"12,1,14,10,11,13,15"
80100155,"12,1,14,10,11,13,15"
12001936,"12,1,14,10,11,13,15"
80100156,"12,1,14,10,11,13,15"
10990279,"12,1,14,10,11,13,15"
10901891,"12,1,14,10,11,13,15"
10931421,"12,1,14,10,11,13,15"
10004855,"12,1,14,10,11,13,15"
10929915,"12,1,14,10,11,13,15"
10009816,"12,1,14,10,11,13,15"
12000316,"12,1,14,10,11,13,15"
10975877,"12,1,14,10,11,13,15"
10982307,"12,1,14,10,11,13,15"
12002807,"12,1,14,10,11,13,15"
10000031,"12,1,14,10,11,13,15"
10917451,"12,1,14,10,11,13,15"
10001014,"12,1,14,10,11,13,15"
10928064,"12,1,14,10,11,13,15"
10001075,"12,1,14,10,11,13,15"
10916106,"12,1,14,10,11,13,15"
10988087,"12,1,14,10,11,13,15"
10007268,"12,1,14,10,11,13,15"
10929281,"12,1,14,10,11,13,15"
10948782,"12,1,14,10,11,13,15"
10982335,"12,1,14,10,11,13,15"
10981667,"12,1,14,10,11,13,15"
10971708,"12,1,14,10,11,13,15"
10988498,"12,1,14,10,11,13,15"
10955629,"12,1,14,10,11,13,15"
10928800,"12,1,14,10,11,13,15"
10985340,"12,1,14,10,11,13,15"
10973091,"12,1,14,10,11,13,15"
10987601,"12,1,14,10,11,13,15"
80401401,"12,1,14,10,11,13,15"
80410251,"12,1,14,10,11,13,15"
10987482,"12,1,14,10,11,13,15"
10986803,"12,1,14,10,11,13,15"
10986324,"12,1,14,10,11,13,15"
10907955,"12,1,14,10,11,13,15"
10985876,"12,1,14,10,11,13,15"
10988227,"12,1,14,10,11,13,15"
10990097,"12,1,14,10,11,13,15"
10000801,"12,1,14,10,11,13,15"
10001012,"12,1,14,10,11,13,15"
12002242,"12,1,14,10,11,13,15"
10917255,"12,1,14,10,11,13,15"
10989345,"12,1,14,10,11,13,15"
10901036,"12,1,14,10,11,13,15"
10947707,"12,1,14,10,11,13,15"
10904818,"12,1,14,10,11,13,15"
10918691,"12,1,14,10,11,13,15"
10975792,"12,1,14,10,11,13,15"
10920494,"12,1,14,10,11,13,15"
10982065,"12,1,14,10,11,13,15"
12000575,"12,1,14,10,11,13,15"
10904817,"12,1,14,10,11,13,15"
12003389,"12,1,14,10,11,13,15"
12003430,"12,1,14,10,11,13,15"
10919591,"12,1,14,10,11,13,15"
10955271,"12,1,14,10,11,13,15"
10901723,"12,1,14,10,11,13,15"
12001943,"12,1,14,10,11,13,15"
12000254,"12,1,14,10,11,13,15"
10988185,"12,1,14,10,11,13,15"
10983656,"12,1,14,10,11,13,15"
10975829,"12,1,14,10,11,13,15"
10985899,"12,1,14,10,11,13,15"
10932411,"12,1,14,10,11,13,15"
10986441,"12,1,14,10,11,13,15"
12000522,"12,1,14,10,11,13,15"
10954684,"12,1,14,10,11,13,15"
10930876,"12,1,14,10,11,13,15"
10932096,"12,1,14,10,11,13,15"
10930027,"12,1,14,10,11,13,15"
12003488,"12,1,14,10,11,13,15"
80400478,"12,1,14,10,11,13,15"
10985990,"12,1,14,10,11,13,15"
10004031,"12,1,14,10,11,13,15"
10903561,"12,1,14,10,11,13,15"
10988671,"12,1,14,10,11,13,15"
10989211,"12,1,14,10,11,13,15"
10985613,"12,1,14,10,11,13,15"
12000563,"12,1,14,10,11,13,15"
10918476,"12,1,14,10,11,13,15"
10989456,"12,1,14,10,11,13,15"
12000798,"12,1,14,10,11,13,15"
10914069,"12,1,14,10,11,13,15"
12000230,"12,1,14,10,11,13,15"
10903342,"12,1,14,10,11,13,15"
10988222,"12,1,14,10,11,13,15"
12000073,"12,1,14,10,11,13,15"
20000143,"12,1,14,10,11,13,15"
10902645,"12,1,14,10,11,13,15"
10921135,"12,1,14,10,11,13,15"
10931085,"12,1,14,10,11,13,15"
12002755,"12,1,14,10,11,13,15"
10921536,"12,1,14,10,11,13,15"
12001627,"12,1,14,10,11,13,15"
20000167,"12,1,14,10,11,13,15"
10988940,"12,1,14,10,11,13,15"
10938251,"12,1,14,10,11,13,15"
80100251,"12,1,14,10,11,13,15"
10987544,"12,1,14,10,11,13,15"
10986226,"12,1,14,10,11,13,15"
12000766,"12,1,14,10,11,13,15"
10985897,"12,1,14,10,11,13,15"
10929868,"12,1,14,10,11,13,15"
10929049,"12,1,14,10,11,13,15"
12000469,"12,1,14,10,11,13,15"
10918480,"12,1,14,10,11,13,15"
10981581,"12,1,14,10,11,13,15"
10990322,"12,1,14,10,11,13,15"
10920865,"12,1,14,10,11,13,15"
10984565,"12,1,14,10,11,13,15"
10986746,"12,1,14,10,11,13,15"
10988486,"12,1,14,10,11,13,15"
10900357,"12,1,14,10,11,13,15"
10927630,"12,1,14,10,11,13,15"
10917192,"12,1,14,10,11,13,15"
10003894,"12,1,14,10,11,13,15"
10936454,"12,1,14,10,11,13,15"
10931675,"12,1,14,10,11,13,15"
20000235,"12,1,14,10,11,13,15"
10986416,"12,1,14,10,11,13,15"
10901577,"12,1,14,10,11,13,15"
80400587,"12,1,14,10,11,13,15"
10971758,"12,1,14,10,11,13,15"
10985478,"12,1,14,10,11,13,15"
10918089,"12,1,14,10,11,13,15"
10929939,"12,1,14,10,11,13,15"
10984333,"12,1,14,10,11,13,15"
10990874,"12,1,14,10,11,13,15"
12001214,"12,1,14,10,11,13,15"
10984715,"12,1,14,10,11,13,15"
10985695,"12,1,14,10,11,13,15"
10946896,"12,1,14,10,11,13,15"
10975879,"12,1,14,10,11,13,15"
10970600,"12,1,14,10,11,13,15"
10981932,"12,1,14,10,11,13,15"
10989262,"12,1,14,10,11,13,15"
10984713,"12,1,14,10,11,13,15"
10975414,"12,1,14,10,11,13,15"
10901655,"12,1,14,10,11,13,15"
10984705,"12,1,14,10,11,13,15"
12002385,"12,1,14,10,11,13,15"
10989876,"12,1,14,10,11,13,15"
10007947,"12,1,14,10,11,13,15"
10918539,"12,1,14,10,11,13,15"
12002412,"12,1,14,10,11,13,15"
10985784,"12,1,14,10,11,13,15"
12000245,"12,1,14,10,11,13,15"
10930218,"12,1,14,10,11,13,15"
10988148,"12,1,14,10,11,13,15"
10989009,"12,1,14,10,11,13,15"
10982880,"12,1,14,10,11,13,15"
80401441,"12,1,14,10,11,13,15"
10931233,"12,1,14,10,11,13,15"
10990044,"12,1,14,10,11,13,15"
12000134,"12,1,14,10,11,13,15"
12000344,"12,1,14,10,11,13,15"
10948696,"12,1,14,10,11,13,15"
10988228,"12,1,14,10,11,13,15"
10988199,"12,1,14,10,11,13,15"
10986390,"12,1,14,10,11,13,15"
10900031,"12,1,14,10,11,13,15"
10989331,"12,1,14,10,11,13,15"
10928932,"12,1,14,10,11,13,15"
10929203,"12,1,14,10,11,13,15"
10987313,"12,1,14,10,11,13,15"
10985554,"12,1,14,10,11,13,15"
10917156,"12,1,14,10,11,13,15"
10969746,"12,1,14,10,11,13,15"
10971756,"12,1,14,10,11,13,15"
10950878,"12,1,14,10,11,13,15"
10006239,"12,1,14,10,11,13,15"
10988161,"12,1,14,10,11,13,15"
10989062,"12,1,14,10,11,13,15"
80401144,"12,1,14,10,11,13,15"
10990125,"12,1,14,10,11,13,15"
10988156,"12,1,14,10,11,13,15"
12000737,"12,1,14,10,11,13,15"
10931198,"12,1,14,10,11,13,15"
10934090,"12,1,14,10,11,13,15"
10988110,"12,1,14,10,11,13,15"
80100261,"12,1,14,10,11,13,15"
10982324,"12,1,14,10,11,13,15"
10931729,"12,1,14,10,11,13,15"
10986319,"12,1,14,10,11,13,15"
12001680,"12,1,14,10,11,13,15"
10985031,"12,1,14,10,11,13,15"
12000421,"12,1,14,10,11,13,15"
10971613,"12,1,14,10,11,13,15"
80401135,"12,1,14,10,11,13,15"
10990840,"12,1,14,10,11,13,15"
10951751,"12,1,14,10,11,13,15"
10984932,"12,1,14,10,11,13,15"
10982323,"12,1,14,10,11,13,15"
10988005,"12,1,14,10,11,13,15"
12000126,"12,1,14,10,11,13,15"
10981597,"12,1,14,10,11,13,15"
10953958,"12,1,14,10,11,13,15"
10987710,"12,1,14,10,11,13,15"
10989101,"12,1,14,10,11,13,15"
80400841,"12,1,14,10,11,13,15"
10988762,"12,1,14,10,11,13,15"
10985113,"12,1,14,10,11,13,15"
10988793,"12,1,14,10,11,13,15"
10906014,"12,1,14,10,11,13,15"
10975704,"12,1,14,10,11,13,15"
10988104,"12,1,14,10,11,13,15"
10920065,"12,1,14,10,11,13,15"
10988168,"12,1,14,10,11,13,15"
12000308,"12,1,14,10,11,13,15"
10901109,"12,1,14,10,11,13,15"
10948649,"12,1,14,10,11,13,15"
10969549,"12,1,14,10,11,13,15"
10929120,"12,1,14,10,11,13,15"
80202120,"12,1,14,10,11,13,15"
10989061,"12,1,14,10,11,13,15"
10931552,"12,1,14,10,11,13,15"
12000452,"12,1,14,10,11,13,15"
80100443,"12,1,14,10,11,13,15"
10988795,"12,1,14,10,11,13,15"
10988186,"12,1,14,10,11,13,15"
10901788,"12,1,14,10,11,13,15"
10981841,"12,1,14,10,11,13,15"
10916092,"12,1,14,10,11,13,15"
12001023,"12,1,14,10,11,13,15"
10991114,"12,1,14,10,11,13,15"
10920675,"12,1,14,10,11,13,15"
10984736,"12,1,14,10,11,13,15"
12003446,"12,1,14,10,11,13,15"
10985528,"12,1,14,10,11,13,15"
10990259,"12,1,14,10,11,13,15"
12001939,"12,1,14,10,11,13,15"
10901422,"12,1,14,10,11,13,15"
10915095,"12,1,14,10,11,13,15"
10949796,"12,1,14,10,11,13,15"
12003588,"12,1,14,10,11,13,15"
12003499,"12,1,14,10,11,13,15"
12000770,"12,1,14,10,11,13,15"
10934011,"12,1,14,10,11,13,15"
10987951,"12,1,14,10,11,13,15"
10991442,"12,1,14,10,11,13,15"
12001683,"12,1,14,10,11,13,15"
10918624,"12,1,14,10,11,13,15"
10930674,"12,1,14,10,11,13,15"
12001004,"12,1,14,10,11,13,15"
10929135,"12,1,14,10,11,13,15"
12002465,"12,1,14,10,11,13,15"
10989816,"12,1,14,10,11,13,15"
10902109,"12,1,14,10,11,13,15"
10913919,"12,1,14,10,11,13,15"
10917620,"12,1,14,10,11,13,15"
10916211,"12,1,14,10,11,13,15"
10968932,"12,1,14,10,11,13,15"
10917433,"12,1,14,10,11,13,15"
10914305,"12,1,14,10,11,13,15"
10988917,"12,1,14,10,11,13,15"
10921549,"12,1,14,10,11,13,15"
10985199,"12,1,14,10,11,13,15"
10988839,"12,1,14,10,11,13,15"
10990081,"12,1,14,10,11,13,15"
10983503,"12,1,14,10,11,13,15"
12000314,"12,1,14,10,11,13,15"
10955665,"12,1,14,10,11,13,15"
10927828,"12,1,14,10,11,13,15"
10980528,"12,1,14,10,11,13,15"
80100481,"12,1,14,10,11,13,15"
10928884,"12,1,14,10,11,13,15"
10931744,"12,1,14,10,11,13,15"
10931894,"12,1,14,10,11,13,15"
12001574,"12,1,14,10,11,13,15"
10003727,"12,1,14,10,11,13,15"
10007207,"12,1,14,10,11,13,15"
10988258,"12,1,14,10,11,13,15"
10990049,"12,1,14,10,11,13,15"
10988171,"12,1,14,10,11,13,15"
12000781,"12,1,14,10,11,13,15"
80400584,"12,1,14,10,11,13,15"
10988147,"12,1,14,10,11,13,15"
10972010,"12,1,14,10,11,13,15"
10985960,"12,1,14,10,11,13,15"
10986056,"12,1,14,10,11,13,15"
12000537,"12,1,14,10,11,13,15"
12001897,"12,1,14,10,11,13,15"
80400627,"12,1,14,10,11,13,15"
10986658,"12,1,14,10,11,13,15"
10906210,"12,1,14,10,11,13,15"
10977360,"12,1,14,10,11,13,15"
10983813,"12,1,14,10,11,13,15"
12000503,"12,1,14,10,11,13,15"
10928754,"12,1,14,10,11,13,15"
10955664,"12,1,14,10,11,13,15"
12002704,"12,1,14,10,11,13,15"
10931545,"12,1,14,10,11,13,15"
10988195,"12,1,14,10,11,13,15"
12000506,"12,1,14,10,11,13,15"
10984628,"12,1,14,10,11,13,15"
10930990,"12,1,14,10,11,13,15"
10984640,"12,1,14,10,11,13,15"
10984772,"12,1,14,10,11,13,15"
10931803,"12,1,14,10,11,13,15"
10964333,"12,1,14,10,11,13,15"
10900165,"12,1,14,10,11,13,15"
10988146,"12,1,14,10,11,13,15"
10984609,"12,1,14,10,11,13,15"
10917290,"12,1,14,10,11,13,15"
10946800,"12,1,14,10,11,13,15"
10919241,"12,1,14,10,11,13,15"
10955181,"12,1,14,10,11,13,15"
10977713,"12,1,14,10,11,13,15"
10984303,"12,1,14,10,11,13,15"
10987845,"12,1,14,10,11,13,15"
10977546,"12,1,14,10,11,13,15"
10905869,"12,1,14,10,11,13,15"
10005480,"12,1,14,10,11,13,15"
10928063,"12,1,14,10,11,13,15"
10988803,"12,1,14,10,11,13,15"
12000784,"12,1,14,10,11,13,15"
12003135,"12,1,14,10,11,13,15"
10991376,"12,1,14,10,11,13,15"
10987837,"12,1,14,10,11,13,15"
10934120,"12,1,14,10,11,13,15"
10001613,"12,1,14,10,11,13,15"
10007133,"12,1,14,10,11,13,15"
10934083,"12,1,14,10,11,13,15"
10952833,"12,1,14,10,11,13,15"
80401073,"12,1,14,10,11,13,15"
10930564,"12,1,14,10,11,13,15"
10981954,"12,1,14,10,11,13,15"
10916886,"12,1,14,10,11,13,15"
10980426,"12,1,14,10,11,13,15"
10903477,"12,1,14,10,11,13,15"
12000370,"12,1,14,10,11,13,15"
10916421,"12,1,14,10,11,13,15"
10915552,"12,1,14,10,11,13,15"
10907253,"12,1,14,10,11,13,15"
10975957,"12,1,14,10,11,13,15"
12003507,"12,1,14,10,11,13,15"
10969548,"12,1,14,10,11,13,15"
10988179,"12,1,14,10,11,13,15"
10986320,"12,1,14,10,11,13,15"
10936061,"12,1,14,10,11,13,15"
10984911,"12,1,14,10,11,13,15"
10932862,"12,1,14,10,11,13,15"
10990252,"12,1,14,10,11,13,15"
80100292,"12,1,14,10,11,13,15"
10920353,"12,1,14,10,11,13,15"
12000304,"12,1,14,10,11,13,15"
10929555,"12,1,14,10,11,13,15"
10984615,"12,1,14,10,11,13,15"
10921598,"12,1,14,10,11,13,15"
10925219,"12,1,14,10,11,13,15"
10989233,"12,1,14,10,11,13,15"
10904204,"12,1,14,10,11,13,15"
10949134,"12,1,14,10,11,13,15"
12000074,"12,1,14,10,11,13,15"
10985525,"12,1,14,10,11,13,15"
10989826,"12,1,14,10,11,13,15"
10987928,"12,1,14,10,11,13,15"
10988799,"12,1,14,10,11,13,15"
10989459,"12,1,14,10,11,13,15"
10921650,"12,1,14,10,11,13,15"
10931110,"12,1,14,10,11,13,15"
20000240,"12,1,14,10,11,13,15"
10901041,"12,1,14,10,11,13,15"
10915212,"12,1,14,10,11,13,15"
10926162,"12,1,14,10,11,13,15"
10989452,"12,1,14,10,11,13,15"
10930383,"12,1,14,10,11,13,15"
10932403,"12,1,14,10,11,13,15"
10985033,"12,1,14,10,11,13,15"
10901864,"12,1,14,10,11,13,15"
10988646,"12,1,14,10,11,13,15"
10932687,"12,1,14,10,11,13,15"
10971198,"12,1,14,10,11,13,15"
10947699,"12,1,14,10,11,13,15"
10976369,"12,1,14,10,11,13,15"
10001372,"12,1,14,10,11,13,15"
10925162,"12,1,14,10,11,13,15"
10990827,"12,1,14,10,11,13,15"
10983359,"12,1,14,10,11,13,15"
10989870,"12,1,14,10,11,13,15"
10984761,"12,1,14,10,11,13,15"
10988221,"12,1,14,10,11,13,15"
10949843,"12,1,14,10,11,13,15"
10929235,"12,1,14,10,11,13,15"
10988949,"12,1,14,10,11,13,15"
80401139,"12,1,14,10,11,13,15"
10987970,"12,1,14,10,11,13,15"
10905351,"12,1,14,10,11,13,15"
10937211,"12,1,14,10,11,13,15"
80100021,"12,1,14,10,11,13,15"
10931593,"12,1,14,10,11,13,15"
10902034,"12,1,14,10,11,13,15"
10975714,"12,1,14,10,11,13,15"
10988474,"12,1,14,10,11,13,15"
10920535,"12,1,14,10,11,13,15"
10930215,"12,1,14,10,11,13,15"
10931485,"12,1,14,10,11,13,15"
10969748,"12,1,14,10,11,13,15"
10919240,"12,1,14,10,11,13,15"
10990580,"12,1,14,10,11,13,15"
10000791,"12,1,14,10,11,13,15"
10929162,"12,1,14,10,11,13,15"
10000805,"12,1,14,10,11,13,15"
10988776,"12,1,14,10,11,13,15"
10901097,"12,1,14,10,11,13,15"
10977537,"12,1,14,10,11,13,15"
10931519,"12,1,14,10,11,13,15"
10949253,"12,1,14,10,11,13,15"
10904894,"12,1,14,10,11,13,15"
12001594,"12,1,14,10,11,13,15"
10919865,"12,1,14,10,11,13,15"
10988166,"12,1,14,10,11,13,15"
12001596,"12,1,14,10,11,13,15"
10901888,"12,1,14,10,11,13,15"
12000109,"12,1,14,10,11,13,15"
10931520,"12,1,14,10,11,13,15"
10929922,"12,1,14,10,11,13,15"
10914354,"12,1,14,10,11,13,15"
10915344,"12,1,14,10,11,13,15"
10984605,"12,1,14,10,11,13,15"
10916429,"12,1,14,10,11,13,15"
10918249,"12,1,14,10,11,13,15"
10915630,"12,1,14,10,11,13,15"
10991420,"12,1,14,10,11,13,15"
10955011,"12,1,14,10,11,13,15"
10902732,"12,1,14,10,11,13,15"
80410313,"12,1,14,10,11,13,15"
10904805,"12,1,14,10,11,13,15"
10928025,"12,1,14,10,11,13,15"
20000115,"12,1,14,10,11,13,15"
10006366,"12,1,14,10,11,13,15"
10905726,"12,1,14,10,11,13,15"
10929559,"12,1,14,10,11,13,15"
10931521,"12,1,14,10,11,13,15"
10975641,"12,1,14,10,11,13,15"
10975285,"12,1,14,10,11,13,15"
10982909,"12,1,14,10,11,13,15"
10986052,"12,1,14,10,11,13,15"
10007153,"12,1,14,10,11,13,15"
12001813,"12,1,14,10,11,13,15"
12003183,"12,1,14,10,11,13,15"
10985205,"12,1,14,10,11,13,15"
10915330,"12,1,14,10,11,13,15"
10927111,"12,1,14,10,11,13,15"
10954171,"12,1,14,10,11,13,15"
10988252,"12,1,14,10,11,13,15"
10905033,"12,1,14,10,11,13,15"
12000385,"12,1,14,10,11,13,15"
10928826,"12,1,14,10,11,13,15"
10930676,"12,1,14,10,11,13,15"
10951077,"12,1,14,10,11,13,15"
10929938,"12,1,14,10,11,13,15"
10988251,"12,1,14,10,11,13,15"
12001931,"12,1,14,10,11,13,15"
10989552,"12,1,14,10,11,13,15"
12000284,"12,1,14,10,11,13,15"
10914775,"12,1,14,10,11,13,15"
10914486,"12,1,14,10,11,13,15"
10919006,"12,1,14,10,11,13,15"
10929146,"12,1,14,10,11,13,15"
10931518,"12,1,14,10,11,13,15"
10968948,"12,1,14,10,11,13,15"
12000293,"12,1,14,10,11,13,15"
10922094,"12,1,14,10,11,13,15"
10932875,"12,1,14,10,11,13,15"
10989465,"12,1,14,10,11,13,15"
10971707,"12,1,14,10,11,13,15"
12002507,"12,1,14,10,11,13,15"
